Date,pca
1938-08-01,-409.4471647921497
1938-09-01,-417.0320487994711
1938-10-01,-398.17952100363993
1938-11-01,-398.04826480905297
1938-12-01,-403.2137628043039
1939-01-01,-405.779898124797
1939-02-01,-405.9843119356335
1939-03-01,-406.0999905496503
1939-04-01,-426.4093358120914
1939-05-01,-420.8926286188919
1939-06-01,-418.12882491915354
1939-07-01,-414.2610028729615
1939-08-01,-416.59196034121226
1939-09-01,-403.1830905776734
1939-10-01,-400.230563661811
1939-11-01,-403.337422989733
1939-12-01,-407.388870941854
1940-01-01,-407.18502738493123
1940-02-01,-409.39318626502563
1940-03-01,-410.326961337781
1940-04-01,-408.6874055307892
1940-05-01,-431.63247404611366
1940-06-01,-444.8598825937014
1940-07-01,-439.62036925361906
1940-08-01,-436.7646204751031
1940-09-01,-430.91114475703426
1940-10-01,-429.5618224442795
1940-11-01,-426.17257903464565
1940-12-01,-433.2476087453707
1941-01-01,-432.9788256556968
1941-02-01,-441.87713880472467
1941-03-01,-441.95980759060245
1941-04-01,-446.9612461087596
1941-05-01,-450.5712301831495
1941-06-01,-448.68598104938485
1941-07-01,-442.1899781337321
1941-08-01,-444.4887682096669
1941-09-01,-445.72861079608526
1941-10-01,-452.4379475441117
1941-11-01,-458.9037732093147
1941-12-01,-467.13432833626416
1942-01-01,-466.3796852910477
1942-02-01,-470.4323143817639
1942-03-01,-477.3057676658228
1942-04-01,-481.9317972218831
1942-05-01,-481.95025019187045
1942-06-01,-477.2575833780141
1942-07-01,-474.20078753185635
1942-08-01,-475.3588325802492
1942-09-01,-474.3227654447487
1942-10-01,-468.0789180193939
1942-11-01,-466.9465618252807
1942-12-01,-466.95940348413285
1943-01-01,-460.47832394437717
1943-02-01,-453.65088465420035
1943-03-01,-451.3660413097223
1943-04-01,-448.5962616188711
1943-05-01,-444.3106870619051
1943-06-01,-442.00188010847023
1943-07-01,-438.522044653585
1943-08-01,-444.5778334386957
1943-09-01,-442.51017914693546
1943-10-01,-443.7483849094122
1943-11-01,-449.85471199617473
1943-12-01,-448.21905138531844
1944-01-01,-444.122195765888
1944-02-01,-445.00947240858653
1944-03-01,-441.359179463287
1944-04-01,-444.38127009402973
1944-05-01,-442.0780099229588
1944-06-01,-436.54436415871714
1944-07-01,-433.67719077154777
1944-08-01,-435.75348110038533
1944-09-01,-438.03937069166324
1944-10-01,-434.6647824808481
1944-11-01,-435.6396378474054
1944-12-01,-433.3274388809008
1945-01-01,-429.10262408471056
1945-02-01,-424.2222866045076
1945-03-01,-424.3255747753021
1945-04-01,-420.53172496952385
1945-05-01,-415.51018097433257
1945-06-01,-414.2667635042352
1945-07-01,-417.57267229490856
1945-08-01,-417.0409941006269
1945-09-01,-406.2760119798812
1945-10-01,-399.2449692569079
1945-11-01,-393.495636694302
1945-12-01,-391.3511715374551
1946-01-01,-384.0427505057743
1946-02-01,-382.5336495872092
1946-03-01,-390.1972348622189
1946-04-01,-379.2719941913585
1946-05-01,-379.84649159581295
1946-06-01,-383.0384984968396
1946-07-01,-398.1201250922862
1946-08-01,-404.70652770352046
1946-09-01,-431.13021632394964
1946-10-01,-436.8264145995888
1946-11-01,-440.33036200518745
1946-12-01,-437.4564754197604
1947-01-01,-436.70309519342493
1947-02-01,-431.31492216000606
1947-03-01,-439.3969819355865
1947-04-01,-444.37587850011835
1947-05-01,-446.67780348976873
1947-06-01,-442.73659394972265
1947-07-01,-435.6114052428683
1947-08-01,-439.9895099313529
1947-09-01,-446.0492600624957
1947-10-01,-442.716306973178
1947-11-01,-444.75354764044897
1947-12-01,-448.272101749965
1948-01-01,-451.37034261116906
1948-02-01,-456.51736839449256
1948-03-01,-454.36588290202747
1948-04-01,-447.0811682010571
1948-05-01,-441.37032020956156
1948-06-01,-436.87183774640334
1948-07-01,-441.61298900821885
1948-08-01,-445.9447325575272
1948-09-01,-447.373981420435
1948-10-01,-443.40260154355235
1948-11-01,-449.72785829058273
1948-12-01,-450.0501571686726
1949-01-01,-448.1789002067392
1949-02-01,-452.0871448826101
1949-03-01,-450.91731771034904
1949-04-01,-451.5435957902811
1949-05-01,-451.9823611615962
1949-06-01,-459.11863753448773
1949-07-01,-451.6804778512901
1949-08-01,-447.7649788529734
1949-09-01,-446.59713633153706
1949-10-01,-442.29838422725396
1949-11-01,-440.9904883418719
1949-12-01,-436.3823508450666
1950-01-01,-432.9974058761444
1950-02-01,-430.23581140026033
1950-03-01,-429.61488871851276
1950-04-01,-425.50858374868517
1950-05-01,-421.0764965061437
1950-06-01,-419.1621568214533
1950-07-01,-432.01289861542205
1950-08-01,-424.5311795565094
1950-09-01,-419.80754207971205
1950-10-01,-414.5847460965432
1950-11-01,-415.4707530541301
1950-12-01,-417.8123331293551
1951-01-01,-408.6625173517451
1951-02-01,-404.31244134772
1951-03-01,-407.7467401646769
1951-04-01,-405.53519163590374
1951-05-01,-406.05351367632306
1951-06-01,-408.9759663689441
1951-07-01,-406.0875560545618
1951-08-01,-398.76237843175704
1951-09-01,-395.509251868848
1951-10-01,-397.0497340242995
1951-11-01,-403.15282753230747
1951-12-01,-398.502322088338
1952-01-01,-392.6535263979553
1952-02-01,-394.74075644039794
1952-03-01,-394.29179801266815
1952-04-01,-395.43775001158366
1952-05-01,-395.51490161951176
1952-06-01,-391.25385812660716
1952-07-01,-387.2705669758152
1952-08-01,-386.52858345494616
1952-09-01,-389.5032437558633
1952-10-01,-393.3759264814653
1952-11-01,-387.6363899919529
1952-12-01,-380.1138968258367
1953-01-01,-378.40967498017653
1953-02-01,-380.14203818936073
1953-03-01,-379.82066082812037
1953-04-01,-389.38157969767207
1953-05-01,-389.0254391072914
1953-06-01,-396.23976136152874
1953-07-01,-393.7127612855387
1953-08-01,-393.57656096607184
1953-09-01,-401.8547903161392
1953-10-01,-397.268548488983
1953-11-01,-392.75990710114473
1953-12-01,-390.3261288654359
1954-01-01,-385.6631308235782
